Question,Option1,Option2,Option3,Option4,Correct Answer
Who was the first woman created by God?,Zacchaeus,Eve,The Red Sea,Frogs,Eve
What was the second plague of Egypt?,Mount Sinai,Saul,Frogs,Tax collector,Frogs
Which disciple denied Jesus three times?,Do unto others as you would have them do unto you,Jordan River,Goliath,Peter,Peter
How many plagues did God send on Egypt?,Locusts,12,10,Bartimaeus,10
What did Moses part to allow the Israelites to escape Egypt?,Mary Magdalene,"Shadrach, Meshach, Abednego",40 days,The Red Sea,The Red Sea
Who led the Israelites out of Egypt?,Saul,Locusts,Wine,Moses,Moses
Who killed Abel?,Cain,Noah,Samson,Zacchaeus,Cain
Which city’s walls fell after the Israelites marched around it?,King Herod,Jericho,Locusts,Revelation,Jericho
Who was the first man created by God?,Turning water into wine,Bartimaeus,Golgotha,Adam,Adam
How many disciples did Jesus have?,Loaves and fishes,12,Jonah,Noah,12
What was the second plague of Egypt?,Frogs,Turning water into wine,Thomas,Bartimaeus,Frogs
How many disciples did Jesus have?,12,Esther,Light,Locusts,12
Who led the Israelites out of Egypt?,Noah,Mary,Fisherman,Moses,Moses
Who anointed David as king?,Goliath,Samuel,King Herod,Cain,Samuel
What did Moses part to allow the Israelites to escape Egypt?,Daniel,Do unto others as you would have them do unto you,The Red Sea,Abraham,The Red Sea
What did Jesus turn water into?,Wine,Golgotha,Thomas,Adam,Wine
Where did Moses receive the Ten Commandments?,Miriam,The Red Sea,Revelation,Mount Sinai,Mount Sinai
What was the first miracle of Jesus?,David,Jordan River,Turning water into wine,Thomas,Turning water into wine
What did God create on the first day?,Frogs,He hanged himself,9,Light,Light
Who wrote most of the New Testament?,Wine,Paul,Wisdom,Mary Magdalene,Paul
Which book of the Bible tells the story of David and Goliath?,King Herod,He hanged himself,He washed their feet,1 Samuel,1 Samuel
Who is the mother of Jesus?,Mary,Deborah,9,Bethlehem,Mary
Who was the giant killed by David?,Garden of Eden,Peter,Bethlehem,Goliath,Goliath
Who was the father of King Solomon?,Love the Lord your God with all your heart,Cain,Manna,David,David
Who was thrown into the fiery furnace but survived?,Tax collector,Joseph,Mount Sinai,"Shadrach, Meshach, Abednego","Shadrach, Meshach, Abednego"
Who is known as the father of faith?,Frogs,Locusts,66,Abraham,Abraham
What was the occupation of Matthew before he followed Jesus?,Tax collector,Pontius Pilate,Judas Iscariot,66,Tax collector
Who was the first person to see the risen Jesus?,Jonah,Manna,Mary Magdalene,Loaves and fishes,Mary Magdalene
How many fruits of the Spirit are mentioned in Galatians?,9,Paul,Wisdom,Wine,9
What did Moses part to allow the Israelites to escape Egypt?,Jericho,Mary,Bethlehem,The Red Sea,The Red Sea
Who was thrown into the lion’s den?,Fisherman,Daniel,Judas Iscariot,Zacchaeus,Daniel
How many days did God take to create the world?,12,Mary Magdalene,6,Genesis,6
What was Peter’s occupation before following Jesus?,Fisherman,He washed their feet,Mary,Mount Sinai,Fisherman
Who was the first person to see the risen Jesus?,Frogs,Genesis,Mary Magdalene,Bartimaeus,Mary Magdalene
Who was the tax collector that climbed a tree to see Jesus?,Zacchaeus,Frogs,Love the Lord your God with all your heart,Joseph,Zacchaeus
Who was the apostle that doubted Jesus’ resurrection?,Bartimaeus,Thomas,Loaves and fishes,"Shadrach, Meshach, Abednego",Thomas
What is the Golden Rule taught by Jesus?,Miriam,"Shadrach, Meshach, Abednego",Peter,Do unto others as you would have them do unto you,Do unto others as you would have them do unto you
Which city’s walls fell after the Israelites marched around it?,Mount Sinai,Jesus wept,Pontius Pilate,Jericho,Jericho
What was Peter’s occupation before following Jesus?,Sea of Galilee,Cain,Fisherman,Daniel,Fisherman
How many disciples did Jesus have?,Wine,12,Moses,He washed their feet,12
"What did Jesus feed 5,000 people with?",Light,Loaves and fishes,10,Jericho,Loaves and fishes
What did Moses part to allow the Israelites to escape Egypt?,The Red Sea,Jonah,Manna,Deborah,The Red Sea
Who was the apostle that doubted Jesus’ resurrection?,Thomas,Garden of Eden,Esther,The Red Sea,Thomas
How many people were on Noah’s ark?,40 days,8,Paul,Manna,8
What was Paul’s name before his conversion?,Mount Sinai,Esther,Saul,Jericho,Saul
How did Judas Iscariot die?,He hanged himself,Love the Lord your God with all your heart,Golgotha,Abraham,He hanged himself
Who anointed David as king?,Noah,Bartimaeus,Cain,Samuel,Samuel
"What did Jesus feed 5,000 people with?",Golgotha,Loaves and fishes,Daniel,Frogs,Loaves and fishes
What is the shortest verse in the Bible?,Stephen,Jesus wept,Samuel,Thomas,Jesus wept
What did Moses part to allow the Israelites to escape Egypt?,Jordan River,6,The Red Sea,Do unto others as you would have them do unto you,The Red Sea
Who was the first man created by God?,Samuel,Adam,Pontius Pilate,Jesus wept,Adam
Who was the first Christian martyr?,Fisherman,Adam,Golgotha,Stephen,Stephen
What did God create on the first day?,Samuel,Goliath,Light,Wisdom,Light
Who killed Abel?,Cain,Wine,Goliath,Tax collector,Cain
Who was the oldest person in the Bible?,Samson,Bethlehem,Methuselah,Jonah,Methuselah
What type of insect did John the Baptist eat in the wilderness?,"Shadrach, Meshach, Abednego",Frogs,Mount Sinai,Locusts,Locusts
How many fruits of the Spirit are mentioned in Galatians?,9,Jesus wept,Saul,Locusts,9
How many days did God take to create the world?,Mary Magdalene,Miriam,1 Samuel,6,6
How many people were on Noah’s ark?,Tax collector,1 Samuel,8,Peter,8
What did Moses part to allow the Israelites to escape Egypt?,Golgotha,Bartimaeus,The Red Sea,Fisherman,The Red Sea
What was the occupation of Matthew before he followed Jesus?,Love the Lord your God with all your heart,12,Tax collector,King Herod,Tax collector
What did God create on the first day?,Light,Esther,Joseph,Genesis,Light
How many days did God take to create the world?,Tax collector,Genesis,6,Deborah,6
"What did Jesus feed 5,000 people with?",Deborah,Loaves and fishes,Jesus wept,66,Loaves and fishes
Who was the father of King Solomon?,David,Wisdom,Joseph,Judas Iscariot,David
Who is the mother of Jesus?,Mary,40 days,Revelation,Judas Iscariot,Mary
What was the name of the place where Jesus was crucified?,Golgotha,Wine,The Red Sea,Locusts,Golgotha
What is the Golden Rule taught by Jesus?,Do unto others as you would have them do unto you,Noah,Bethlehem,Cain,Do unto others as you would have them do unto you
Who killed Abel?,Goliath,Locusts,Cain,Jericho,Cain
Who was the first man created by God?,Love the Lord your God with all your heart,Jesus wept,Adam,Methuselah,Adam
How many books are in the Bible?,66,40 days,Tax collector,Garden of Eden,66
What was the occupation of Matthew before he followed Jesus?,Fisherman,Tax collector,Bethlehem,"Shadrach, Meshach, Abednego",Tax collector
How many plagues did God send on Egypt?,Mount Sinai,Golgotha,10,1 Samuel,10
Which king wanted to kill baby Jesus?,Jericho,Wisdom,Locusts,King Herod,King Herod
What was the second plague of Egypt?,Locusts,David,Frogs,Paul,Frogs
Who was the oldest person in the Bible?,King Herod,Samson,Methuselah,Thomas,Methuselah
What is the first book of the Bible?,Noah,Garden of Eden,66,Genesis,Genesis
What is the longest book in the Bible?,Psalms,Wine,Frogs,1 Samuel,Psalms
How many people were on Noah’s ark?,The Red Sea,Mount Sinai,40,8,8
Which prophet was swallowed by a big fish?,Mary,Jonah,Samuel,12,Jonah
What was Peter’s occupation before following Jesus?,Psalms,Fisherman,The Red Sea,Cain,Fisherman
Which prophet was swallowed by a big fish?,12,Locusts,Jonah,Peter,Jonah
How many disciples did Jesus have?,Sea of Galilee,12,40 days,9,12
How many days did Jesus fast in the wilderness?,Wisdom,40,Pontius Pilate,Stephen,40
What did God create on the first day?,12,Light,Abraham,Esther,Light
What did God create on the first day?,He washed their feet,Light,Judas Iscariot,Fisherman,Light
What was the last book of the Bible?,Mary,Revelation,10,Jordan River,Revelation
"What did Jesus feed 5,000 people with?",Loaves and fishes,Pontius Pilate,Wisdom,Jesus wept,Loaves and fishes
Who interpreted dreams for the Pharaoh of Egypt?,Noah,Mount Sinai,Tax collector,Joseph,Joseph
How did Judas Iscariot die?,Mary Magdalene,He hanged himself,8,Loaves and fishes,He hanged himself
How many days did God take to create the world?,8,Goliath,Light,6,6
Who was the Queen of Persia who saved the Jews?,Samuel,Bartimaeus,Esther,40,Esther
Where was Jesus born?,Pontius Pilate,Genesis,Bethlehem,Psalms,Bethlehem
